,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-12-17,0.0,2.0,0.0,44,218,7925.0
1,2019-12-18,0.0,130.0,1302.25185225062,14,41,692.0
2,2019-12-19,0.0,81.0,338.209075256314,15,47,298.0
3,2019-12-20,0.0,91.0,290.932392619444,15,43,271.0
4,2019-12-21,0.0,85.0,210.854903495949,15,43,284.0
5,2019-12-22,0.0,71.0,151.336079855607,16,47,294.0
6,2019-12-23,0.0,89.0,272.486159317438,15,43,461.0
7,2019-12-24,1671.2,105.0,214.780528902263,15,41,566.0
8,2019-12-25,1857.53,106.0,187.417399428035,15,38,602.0
9,2019-12-26,2198.04,177.0,342.395574303511,11,35,1415.0
10,2019-12-27,2.07,197.0,291.588895144307,11,32,1970.0
11,2019-12-28,5.46,58.0,67.7089595127866,16,47,327.0
12,2019-12-29,6.58,54.0,22.5087902430556,16,51,193.0
13,2019-12-30,8.26,29.0,33.6981925429894,19,69,97.0
14,2019-12-31,8.78,22.0,10.5306820899471,20,74,76.0
15,2020-01-01,9.17,35.0,7.71493871527778,18,56,107.0
16,2020-01-02,9.73,26.0,11.3246932721561,19,68,75.0
